Id;Name;OrganisationTypeId;Longitude;Latitude;;
12;Abercarn RFC;1;51,6473;-3,1348;;
13;Abergavenny RFC;1;51,8254;-3,0194;;
14;Abertillery / Blaenau Gwent RFC;1;51,778;-3,141;;
15;Bedwas RFC;1;51,5918;-3,1989;;
16;Bettws (Newport) RFC;1;51,592;-2,975;;
17;Blackwood RFC;1;51,697;-3,22;;
18;Blaenavon RFC;1;51,78;-3,093;;
19;Blaina RFC;1;51,775;-3,084;;
20;Brynithel RFC;1;51,704;-3,213;;
21;Brynmawr RFC;1;51,775;-3,213;;
22;Caldicot RFC;1;51,586;-2,737;;
23;Chepstow RFC;1;51,64;-2,665;;
24;Croesyceiliog RFC;1;51,594;-3,05;;
25;Cross Keys RFC;1;51,6199;-3,1241;;
26;Crumlin RFC;1;51,639;-3,116;;
27;Cwmbran RFC;1;51,647;-3,019;;
28;Ebbw Vale RFC;1;51,784;-3,199;;
29;Fleur de Lys RFC;1;51,705;-3,209;;
30;Garndiffaith RFC;1;51,779;-3,085;;
31;Llanhilleth RFC;1;51,716;-3,086;;
45;RTB (Ebbw Vale) RFC;1;51,784;-3,199;;
55;Barry RFC;1;51,398;-3,272;;
56;Canton RFC;1;51,482;-3,187;;
57;Cardiff RFC;1;51,4816;-3,1791;;
58;Cardiff Quins RFC;1;51,4816;-3,1791;;
59;Cardiff Medicals RFC;1;51,4816;-3,1791;;
60;Cardiff University RFC;4;51,485;-3,179;;
61;Cowbridge RFC;1;51,462;-3,445;;
62;Dinas Powys RFC;1;51,432;-3,215;;
63;Fairwater RFC;1;51,492;-3,267;;
64;Glamorgan Wanderers RFC;1;51,4816;-3,1791;;
65;Llandaff RFC;1;51,499;-3,199;;
66;Llandaff North RFC;1;51,517;-3,211;;
67;Llanharan RFC;1;51,538;-3,447;;
68;Llanishen RFC;1;51,527;-3,185;;
81;Cardiff Met RFC;1;51,4816;-3,1791;;
82;Abercwmboi RFC;1;51,708;-3,415;;
83;Abercynon RFC;1;51,646;-3,327;;
84;Aberdare RFC;1;51,714;-3,449;;
85;Bargoed RFC;1;51,684;-3,233;;
86;Beddau RFC;1;51,554;-3,356;;
88;Brecon RFC;1;51,947;-3,393;;
89;Builth Wells RFC;1;52,15;-3,405;;
90;Caerphilly RFC;1;51,574;-3,218;;
91;Cefn Coed RFC;1;51,75;-3,372;;
92;Cilfynydd RFC;1;51,624;-3,32;;
93;Deri RFC;1;51,707;-3,358;;
95;Ferndale RFC;1;51,658;-3,446;;
96;Gilfach Goch RFC;1;51,594;-3,472;;
97;Gwernyfed RFC;1;51,995;-3,233;;
98;Hirwaun RFC;1;51,739;-3,512;;
99;Llantrisant RFC;1;51,541;-3,374;;
100;Llantwit Fardre RFC;1;51,553;-3,366;;
117;Aberavon Green Stars RFC;1;51,597;-3,784;;
118;Aberavon Quins RFC;1;51,597;-3,784;;
119;Baglan RFC;1;51,611;-3,813;;
122;Bridgend RFC;1;51,505;-3,577;;
123;Bridgend Athletic RFC;1;51,505;-3,577;;
124;Bridgend Sports Club RFC;1;51,505;-3,577;;
125;Briton Ferry RFC;1;51,636;-3,818;;
126;Bryncoch RFC;1;51,658;-3,839;;
127;Cefn Cribbwr RFC;1;51,547;-3,632;;
129;Cwmavon RFC;1;51,607;-3,763;;
130;Glyncorrwg RFC;1;51,681;-3,63;;
131;Heol y Cyw RFC;1;51,544;-3,549;;
132;Kenfig Hill RFC;1;51,546;-3,737;;
151;Abercrave RFC;1;51,80;-3,69;;
152;Alltwen RFC;1;51,684;-3,836;;
153;Banwen RFC;1;51,778;-3,77;;
154;Birchgrove RFC;1;51,664;-3,954;;
155;Bonymaen RFC;1;51,643;-3,924;;
156;Crynant (Creunant) RFC;1;51,728;-3,749;;
157;Cwmgwrach RFC;1;51,741;-3,676;;
158;Cwmllynfell RFC;1;51,80;-3,781;;
159;Cwmtwrch RFC;1;51,782;-3,695;;
160;Dunvant RFC;1;51,626;-4,037;;
161;Glais RFC;1;51,67;-3,897;;
162;Glynneath RFC;1;51,743;-3,619;;
176;Amman United RFC;1;51,795;-3,988;;
177;Ammanford RFC;1;51,795;-3,988;;
179;Brynamman RFC;1;51,801;-3,87;;
180;Cefneithin RFC;1;51,769;-4,091;;
181;Cwmgors RFC;1;51,771;-3,944;;
182;Gorseinon RFC;1;51,67;-4,042;;
183;Gowerton RFC;1;51,65;-4,037;;
184;Yr Hendy RFC;1;51,809;-4,101;;
185;Llandeilo RFC;1;51,884;-3,991;;
186;Llandovery RFC;1;52,008;-3,799;;
187;Llandybie RFC;1;51,82;-4,005;;
188;Llangennech RFC;1;51,691;-4,075;;
197;Burry Port RFC;1;51,684;-4,245;;
198;Bynea RFC;1;51,673;-4,105;;
199;Carmarthen RFC;1;51,856;-4,311;;
200;Carmarthen Athletic RFC;1;51,856;-4,311;;
202;Felinfoel RFC;1;51,691;-4,2;;
203;Furnace United RFC;1;51,735;-4,142;;
204;Kidwelly RFC;1;51,737;-4,307;;
205;Lampeter College RFC;4;52,112;-4,078;;
206;Lampeter Town RFC;1;52,112;-4,078;;
207;Laugharne RFC;1;51,771;-4,461;;
209;Llanelli Wanderers RFC;1;51,681;-4,161;;
216;Aberaeron RFC;1;52,24;-4,26;;
217;Aberystwyth RFC;1;52,414;-4,081;;
218;Aberystwyth University;4;52,414;-4,081;;
219;Cardigan RFC;1;52,084;-4,659;;
220;Clwb Rygbi Crymych;1;51,973;-4,641;;
221;Fishguard and Goodwick RFC;1;52,004;-4,993;;
222;Haverfordwest RFC;1;51,801;-4,97;;
223;Llangwm RFC;1;51,747;-4,92;;
232;Bala RFC;1;52,914;-3,598;;
233;Bangor RFC;1;53,227;-4,129;;
235;Bangor University RFC;4;53,227;-4,129;;
236;Bethesda RFC;1;53,18;-4,061;;
237;Caernarfon RFC;1;53,14;-4,276;;
238;Colwyn Bay RFC;1;53,296;-3,726;;
239;Denbigh (Dinbych) RFC;1;53,184;-3,421;;
240;Dolgellau RFC;1;52,742;-3,885;;
241;Llandudno RFC;1;53,324;-3,831;;
242;Llangefni RFC;1;53,256;-4,311;;
243;Llanidloes RFC;1;52,449;-3,539;;
245;Nant Conwy RFC;1;53,14;-3,798;;
273;Bro Ffestiniog RFC;1;52,994;-3,94;;
277;COBRA;1;51,4816;-3,1791;;
283;Cardiff Rugby;5;51,4816;-3,1791;;
284;Dragons;5;51,588;-2,998;;
287;Abertysswg Falcons;1;51,738;-3,38;;
296;Bryncethin RFC;1;51,532;-3,559;;
297;Hartridge RFC;1;51,588;-2,998;;
298;Glyncoch RFC;1;51,606;-3,351;;
299;Cambrian Welfare RFC;1;51,64;-3,414;;
300;Clwb Rygbi Cymry Caerdydd RFC;1;51,4816;-3,1791;;
301;Fall Bay RFC ;1;51,574;-4,277;;
302;Caerleon RFC;1;51,609;-2,954;;
353;Hafodyrynys RFC;1;51,712;-3,167;;
354;Cardiff Internationals RFC;1;51,4816;-3,1791;;
356;Beaufort RFC;1;51,745;-3,259;;
357;Mynydd-Y-Garreg RFC;1;51,731;-4,277;;
361;Aberbeeg RFC;1;51,693;-3,13;;
362;Cardiff Saracens RFC;1;51,4816;-3,1791;;
363;Girling RFC;1;51,588;-2,998;;
366;Menai Bridge RFC;1;53,221;-4,163;;
369;Cwmcarn United RFC;1;51,647;-3,137;;
371;Caerau Ely RFC;1;51,483;-3,235;;
373;Llandrindod Wells RFC;1;52,241;-3,383;;
374;Abersychan Alexanders RFC;1;51,723;-3,06;;
377;Llanrumney RFC;1;51,52;-3,12;;
379;Cathays RFC;1;51,488;-3,176;;
381;Benllech RFC;1;53,316;-4,227;;
386;Bedwellty RFC;1;51,772;-3,246;;
388;Blackwood Stars RFC;1;51,697;-3,22;;
389;Tregaron RFC;1;52,219;-3,934;;
391;Ferryside RFC;1;51,765;-4,368;;
393;Cefn Fforest RFC;1;51,648;-3,185;;
397;Crickhowell RFC;1;51,859;-3,137;;
402;Forgeside RFC;1;51,695;-3,203;;
405;Flint RFC;1;53,244;-3,132;;
407;Abergele RFC;1;53,284;-3,582;;
410;Harlech RFC;1;52,86;-4,109;;
412;Porthmadog RFC;1;52,929;-4,132;;
417;Hollybush RFC;1;51,724;-3,244;;
420;Clwb Rygbi Bro Gwernant;1;51,79;-3,94;;
432;Brackla RFC;1;51,517;-3,603;;
714;Dulais Valley RFC;1;51,765;-3,719;;
1415;Dragons;5;51,588;-2,998;;
4409;Glamorgan County RFC;1;51,4816;-3,1791;;
5019;Cardiff Chiefs;1;51,4816;-3,1791;;
5854;Dragons All-Stars ;1;51,588;-2,998;;
7062;Cwmavon/Tondu RFC;1;51,607;-3,763;;
7183;East District;1;51,4816;-3,1791;;
7451;Cynon Valley Schools;6;51,714;-3,449;;
7456;Blaenau Gwent Schools;6;51,784;-3,199;;
7457;Islwyn Schools;6;51,697;-3,22;;
7460;Bridgend Schools;6;51,505;-3,577;;
7471;Cardiff Schools West;6;51,4816;-3,1791;;
7497;Cardiff Schools Central;6;51,4816;-3,1791;;
7761;Dunvant RFC Athletic ;1;51,626;-4,037;;
7762;Clwb Rygbi Crymych RFC Athletic;1;51,973;-4,641;;
7772;Colwyn Bay RFC Athletic ;1;53,296;-3,726;;
7773;Denbigh (Dinbych) RFC Athletic;1;53,184;-3,421;;
7774;Llangefni RFC Athletic ;1;53,256;-4,311;;
7786;COBRA Athletic ;1;51,4816;-3,1791;;
7796;Cardiff Schools East;6;51,4816;-3,1791;;
7932;Kenfig Hill RFC Athletic;1;51,546;-3,737;;